用户名,UID,IP归属地,楼层,时间,评论内容
布莱恩丶贝尔蒙特,450137811,北京,899,2025-06-17 12:04:32,这不李素裳抢了希儿的衣服，学灵砂摆的姿势
花火隔壁老奶奶,383662553,江苏,1382,2025-06-17 12:13:18,那一天的大海，瑟音起来～
爆一个炸,364788308,江西,1355,2025-06-17 12:12:57,叫我灰色的小鱼苗唉，又有新名称了
奕倩,302010587,浙江,2343,2025-06-17 12:27:02,
成龙快击鼓三下,413820457,加拿大,2905,2025-06-17 12:35:46,"海瑟音十分热爱小提琴，知道为什么吗？
因为她是“爱琴海”"
承包提瓦特男模,326155776,,671,2025-06-17 12:02:31,有点像李素裳，这能说吗？
月祈喵,76379374,安徽,38,2025-06-17 12:00:34,据野史记载，海瑟音其实对小麦过敏，因为“麦克阿瑟″
普鲁士蓝弥弥,426879137,湖南,2944,2025-06-17 12:36:28,
komorebi520,302084290,湖北,210,2025-06-17 12:00:51,大家都要抽卡不歪啊
森惹,301396916,四川,1539,2025-06-17 12:15:37,海瑟音脸上的是鱼鳞吗
1578632546,363903319,河北,836,2025-06-17 12:03:51,浮梦若薇：崩3塞西莉娅.沙尼亚特、米丝忒琳.沙尼亚特，原神梦见月瑞希，崩2塞西莉娅.沙尼亚特
黑文斯,289159403,江西,1322,2025-06-17 12:12:17,头感觉像灵砂+崩三的李素裳，衣服又有点希儿的感觉
凯斯巫,310143707,广东,1057,2025-06-17 12:06:50,中间衣服配色有点像希儿
星铁小原帽,263974603,山东,3224,2025-06-17 12:43:33,
陵鱼念露,380750727,河南,255,2025-06-17 12:00:59,海瑟音，跟我组一辈子dot队吧
滑进河里,338481839,广东,1332,2025-06-17 12:12:35,抽抽抽！
楚洛痕,394072473,浙江,882,2025-06-17 12:04:18,卡芙卡/黑天鹅：哦内盖，和我们组一辈子的dot队吧！没有海瑟音的话，瓦达西红豆泥……
夜曲晴天,347202626,江西,1054,2025-06-17 12:06:46,是你吗
Re冰与火之歌,288653427,江苏,435,2025-06-17 12:01:26,太好了，我们dot有救了
曦望赤子,333136834,江苏,650,2025-06-17 12:02:22,能打六个万敌的人出现了（）
洛泪龙殇,303120139,湖南,778,2025-06-17 12:03:18,
稽儿假没休王,4350985,新疆,1077,2025-06-17 12:07:13,老规矩 泰译中
ovo元元,299626585,广东,1237,2025-06-17 12:10:43,
小灰寶,343401941,湖南,87,2025-06-17 12:00:38,
我好萌啊,2492034,浙江,3664,2025-06-17 12:58:38,
清山醉仙,287955516,广东,728,2025-06-17 12:02:56,轮到我了
凛川Yuna,311281253,山东,552,2025-06-17 12:01:56,跟隔壁梦见月一个CV诶
千歲Takina,5683164,福建,3182,2025-06-17 12:42:22,
豆沙灰灰1,413663237,安徽,524,2025-06-17 12:01:48,长得好像灵砂
绝音小白,360975355,辽宁,947,2025-06-17 12:05:06,只有我觉得她脸像后崩芽衣吗
天启者9,427193224,天津,253,2025-06-17 12:00:59,
灯鲸鲸,206019293,广东,1206,2025-06-17 12:09:59,翻译来了（还没翻成中文）
宜馨,398340480,湖北,3835,2025-06-17 13:06:30,感觉是为了拼循环而设定好了立绘的方向
凤梨罐头六道骸,190419508,四川,2345,2025-06-17 12:27:05,怎么有一种素裳的发型➕雷律的脸和神态➕铁道希的衣服的感觉
Re冰与火之歌,288653427,江苏,262,2025-06-17 12:01:01,
冷静稳重特斯拉,16580716,北京,4427,2025-06-17 13:46:54,"啊！之前的PV的剪影酷酷的，以为是酷姐来着。
半透黑纱+破洞，咱也不是说难看，就是吧有种网恋奔现破灭的感觉"
怒涛HS沧岚,380203226,江西,3584,2025-06-17 12:55:03,这跟pv里的不太一样啊，尤其是发色和衣服，感觉差别还挺大的，还有小提琴怎么也没了，难道这个pv里的是sp海瑟音吗
y岱,346312451,四川,134,2025-06-17 12:00:42,dot队会赢吗？
在提瓦特长草的星夜,235522250,广西,3673,2025-06-17 12:59:13,毫无违和感
Bsh,287816729,河南,209,2025-06-17 12:00:51,"dot环境专
卡黑黄外无法吃
还好我全抽"
Qiny7,380270441,河北,1365,2025-06-17 12:13:06,黄金史诗中的立绘这个应该更偏向建模，对比如何呢
一只萦,15924934,甘肃,1076,2025-06-17 12:07:13,是你吗后崩坏书的芽衣阿姨
谒古,324303040,江苏,798,2025-06-17 12:03:28,感觉衣服有点像希儿，脸像雷神
茜特菈莉,269217341,广东,646,2025-06-17 12:02:20,
吃个天星,319797332,北京,396,2025-06-17 12:01:20,乍看之下想到了素裳
盛夏仙桃结满树,264468045,安徽,3038,2025-06-17 12:38:44,这确定不是穿着希儿衣服学灵砂摆pose加一些黑丝的李素裳小姐吗？
舞依舰长,261189793,广西,6750,2025-06-17 22:48:37,给大家搬个好东西
天银杏下,279998458,山东,849,2025-06-17 12:04:02,李素裳?你怎么穿着希儿的衣服?！
