评论,评论时间,标签,得分,情感数值,文本长度,34,666,be,doge,dot,dot队有救了,eternal,feast,may,next,the,不对,不是,不是哥们,伊甸,你怎么穿着希儿的衣服,你是,卡芙卡,只需等待,后崩芽衣,哇哦,坏了,太好了,她真好看,好像李素裳,好好好,好家伙,好漂亮,好看,好美,好耶,妈妈,姐姐,孩子们,对不起,希儿,希儿的衣服,希儿的配色,希尔,愿下一场欢宴永不落幕,愿下一场盛宴永恒,懂了,我出手了,我去,所以,所以我出手了,拼好人,拼好音,是你吗,有意思,有点意思,李大枕头,李素裳,李素裳的脸,来了,来了来了,浮梦若薇,海列屈拉,海瑟音,海瑟音大人,海瑟音妈妈,海瑟音立绘上的文字,海的女儿,灰色小鱼苗,灰色的小鱼苗,灵砂,灵砂的动作,灵砂的姿势,物理,物理虚无,珊瑚宫素裳,白厄,白露,白露的背景,真好看,石见舞菜香,破洞丝袜,破洞黑丝,第一,第一眼,第二眼,素裳,素裳你怎么穿着希儿的衣服,素裳是你吗,素裳的头,素裳的脸,缝合怪,老婆,芽衣,蕾耶拉,虚无,计划有变,这下不得不抽了,这是,那一晚,重铸dot荣光,阮梅,阿伽门农,难道说,黑天鹅,小时,星期几,是否周末,日期,情感均值,讨论量
这不李素裳抢了希儿的衣服，学灵砂摆的姿势,2025-06-17 12:04:32,positive (stars 4 and 5),0.871523380279541,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
那一天的大海，瑟音起来～,2025-06-17 12:13:18,positive (stars 4 and 5),0.8147099614143372,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
叫我灰色的小鱼苗唉，又有新名称了,2025-06-17 12:12:57,"negative (stars 1, 2 and 3)",0.5793729424476624,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
"海瑟音十分热爱小提琴，知道为什么吗？
因为她是“爱琴海”",2025-06-17 12:35:46,positive (stars 4 and 5),0.970176875591278,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
有点像李素裳，这能说吗？,2025-06-17 12:02:31,positive (stars 4 and 5),0.6121787428855896,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
据野史记载，海瑟音其实对小麦过敏，因为“麦克阿瑟″,2025-06-17 12:00:34,positive (stars 4 and 5),0.9883325695991516,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
大家都要抽卡不歪啊,2025-06-17 12:00:51,positive (stars 4 and 5),0.9032809734344482,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
海瑟音脸上的是鱼鳞吗,2025-06-17 12:15:37,"negative (stars 1, 2 and 3)",0.7184846997261047,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
浮梦若薇：崩3塞西莉娅.沙尼亚特、米丝忒琳.沙尼亚特，原神梦见月瑞希，崩2塞西莉娅.沙尼亚特,2025-06-17 12:03:51,positive (stars 4 and 5),0.6328087449073792,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
头感觉像灵砂+崩三的李素裳，衣服又有点希儿的感觉,2025-06-17 12:12:17,positive (stars 4 and 5),0.6862725019454956,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
中间衣服配色有点像希儿,2025-06-17 12:06:50,positive (stars 4 and 5),0.6979441046714783,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
海瑟音，跟我组一辈子dot队吧,2025-06-17 12:00:59,positive (stars 4 and 5),0.7716392278671265,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
抽抽抽！,2025-06-17 12:12:35,"negative (stars 1, 2 and 3)",0.6733524799346924,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
卡芙卡/黑天鹅：哦内盖，和我们组一辈子的dot队吧！没有海瑟音的话，瓦达西红豆泥……,2025-06-17 12:04:18,positive (stars 4 and 5),0.6848212480545044,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,2025-06-17,0.6610871440897326,5795
是你吗,2025-06-17 12:06:46,"negative (stars 1, 2 and 3)",0.5395601391792297,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
太好了，我们dot有救了,2025-06-17 12:01:26,positive (stars 4 and 5),0.9148032665252686,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
能打六个万敌的人出现了（）,2025-06-17 12:02:22,positive (stars 4 and 5),0.616144061088562,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
老规矩 泰译中,2025-06-17 12:07:13,positive (stars 4 and 5),0.9694089889526368,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
轮到我了,2025-06-17 12:02:56,positive (stars 4 and 5),0.7091123461723328,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
跟隔壁梦见月一个CV诶,2025-06-17 12:01:56,"negative (stars 1, 2 and 3)",0.504623293876648,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
长得好像灵砂,2025-06-17 12:01:48,positive (stars 4 and 5),0.5236200094223022,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
只有我觉得她脸像后崩芽衣吗,2025-06-17 12:05:06,"negative (stars 1, 2 and 3)",0.7918418645858765,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
翻译来了（还没翻成中文）,2025-06-17 12:09:59,positive (stars 4 and 5),0.6885907649993896,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
